Recency,Frequency,Monetary,Cluster,Segment
326,1,77183.6,3,High-Value
2,7,4310.0,0,Regular
75,4,1797.24,0,Regular
19,1,1757.55,0,Regular
310,1,334.4,1,Occasional
36,8,2506.04,0,Regular
204,1,89.0,1,Occasional
232,1,1079.4,1,Occasional
214,1,459.4,1,Occasional
23,3,2811.43,0,Regular
33,1,6207.67,0,Regular
2,2,1168.06,0,Regular
58,4,6372.58,0,Regular
52,3,2662.06,0,Regular
287,1,189.9,1,Occasional
3,10,5226.23,0,Regular
110,2,552.0,0,Regular
8,4,1313.1,0,Regular
291,2,641.38,1,Occasional
4,1,168.9,0,Regular
51,4,3545.69,0,Regular
45,2,1887.96,0,Regular
72,3,1298.04,0,Regular
311,1,364.6,1,Occasional
25,1,742.9300000000001,0,Regular
11,2,457.5,0,Regular
315,2,1628.12,1,Occasional
130,1,4008.62,0,Regular
82,2,852.24,0,Regular
22,4,2724.81,0,Regular
5,5,1845.31,0,Regular
185,5,1850.56,1,Occasional
29,2,585.27,0,Regular
338,2,401.9,1,Occasional
16,6,2780.66,0,Regular
80,1,549.84,0,Regular
22,1,460.89,0,Regular
72,4,1582.6000000000001,0,Regular
64,2,1272.48,0,Regular
19,12,3018.63,0,Regular
36,2,2409.9,0,Regular
46,1,1635.6599999999999,0,Regular
119,4,1108.65,0,Regular
303,1,84.3,1,Occasional
323,1,225.6,1,Occasional
50,1,427.7,0,Regular
149,1,1710.39,1,Occasional
22,2,3415.3,0,Regular
50,5,1708.1200000000001,0,Regular
33,5,2888.55,0,Regular
79,3,11072.67,0,Regular
309,2,693.3299999999999,1,Occasional
75,3,1226.88,0,Regular
67,3,758.1,0,Regular
217,3,562.41,1,Occasional
24,21,124914.53,2,High-Value
3,9,3649.1,0,Regular
113,1,668.58,0,Regular
64,1,600.39,0,Regular
16,4,807.04,0,Regular
96,3,803.5600000000001,0,Regular
1,8,1859.31,0,Regular
163,2,1760.96,1,Occasional
78,1,777.2,0,Regular
195,1,582.73,1,Occasional
22,3,825.8,0,Regular
26,9,7956.46,0,Regular
9,4,3750.4,0,Regular
43,1,256.4,0,Regular
36,15,6487.45,3,High-Value
43,5,5059.32,0,Regular
1,7,13375.87,0,Regular
85,2,806.14,0,Regular
80,2,7829.89,0,Regular
100,1,509.01,0,Regular
2,18,4951.41,3,High-Value
14,2,2906.85,0,Regular
367,1,173.55,1,Occasional
3,1,172.06,0,Regular
21,5,5005.46,0,Regular
22,1,133.4,0,Regular
58,1,1002.3100000000001,0,Regular
243,1,476.49,1,Occasional
44,1,449.45,0,Regular
22,4,4067.29,0,Regular
156,2,197.88,1,Occasional
11,5,9035.52,0,Regular
17,2,430.57,0,Regular
134,1,707.09,0,Regular
56,1,3528.34,0,Regular
73,6,2466.86,0,Regular
44,3,3181.04,0,Regular
66,7,2363.23,0,Regular
71,2,947.4,0,Regular
94,2,826.88,0,Regular
19,2,1189.59,0,Regular
53,4,1344.78,0,Regular
10,8,1212.05,0,Regular
17,2,742.1899999999999,0,Regular
188,2,729.5400000000001,1,Occasional
2,30,19824.05,3,High-Value
32,7,6572.11,0,Regular
